ticker;preco;var_1d;var_5d;var_20d;rsi;macd_hist;bb_pct;vol_ratio;atr_pct;dist_min52;dist_max52;pl;pvp;dy;roe;score;classificacao;liquidez;gema;volume_dia
VLID3;17,39;-5,13;-3,92;-1,53;41,9;-0,016;-5,1;1,77;2,72;5,3;32,7;5.6;0,8;-;13.4%;80;FORTE OPORTUNIDADE;baixa;True;374200
BBAS3;20,28;-3,66;-4,29;1,4;45,4;-0,026;16,2;1,31;2,4;11,2;35,8;9.1;0,62;-;9.2%;70;FORTE OPORTUNIDADE;alta;False;22892100
ITUB4;41,83;-1,3;-2,09;-1,74;46,5;-0,137;15,6;1,19;2,2;30,3;16,4;10.0;2,2;-;21.5%;65;FORTE OPORTUNIDADE;alta;False;22055300
ITSA4;13,51;-1,6;-2,1;-0,59;47,8;-0,037;14,9;1,07;2,1;44,2;11,4;8.9;1,68;-;18.4%;65;FORTE OPORTUNIDADE;alta;False;18611400
PSSA3;52,65;-1,55;-3,13;-1,31;44,1;-0,327;-12,9;1,04;2,34;22,7;5,5;9.3;2,17;-;25.2%;65;FORTE OPORTUNIDADE;alta;False;1270000
KEPL3;6,1;-3,17;-6,01;-4,39;31,4;-0,013;-19,8;1,64;2,49;0,0;72,1;7.2;1,34;-;19.6%;65;FORTE OPORTUNIDADE;alta;False;1229300
BBDC4;17,7;-1,94;-3,49;-1,57;39,9;-0,115;-17,9;1,95;2,37;23,3;20,0;8.4;1,05;-;13.8%;55;OBSERVAR;alta;False;58573100
SMFT3;18,38;-7,82;-7,92;-7,87;36,4;-0,167;-16,8;5,1;3,76;11,0;43,7;16.6;1,91;-;11.7%;55;OBSERVAR;alta;False;32092100
TIMS3;18,9;1,07;-2,07;-15,21;26,9;-0,281;15,3;0,83;3,63;1,9;50,0;10.5;1,85;-;17.3%;55;OBSERVAR;alta;False;8072600
GRND3;3,54;-1,39;-4,84;-6,84;30,4;-0,014;-3,0;1,46;2,45;3,8;40,5;5.1;1,01;-;17.9%;55;OBSERVAR;alta;False;2892900
