ticker;preco;var_1d;var_5d;var_20d;rsi;macd_hist;bb_pct;vol_ratio;atr_pct;dist_min52;dist_max52;pl;pvp;dy;roe;score;classificacao;score_trader;classificacao_trader;sinais_trader;liquidez;gema;volume_dia
BRKM5;3,52;-14,36;-31,12;-38,46;19,6;-0,117;-19,1;2,42;12,85;0,0;291,5;-;-0,22;-;-;50;OBSERVAR;80;FORTE OPORTUNIDADE;['RSI sobrevendido (20)', 'Preço tocando banda inferior Bollinger', 'Volatilidade alta (ATR 12.8%)', 'Volume alto (2.4x)'];alta;False;22379200
BBSE3;39,41;1,31;7,5;1,21;61,5;0,108;79,5;0,57;2,0;40,4;3,4;8.3;7,02;-;85.9%;50;OBSERVAR;20;NEUTRO;['MACD cruzou para positivo'];alta;False;3783500
DESK3;18,49;-2,68;-2,32;1,26;47,1;-0,039;14,4;2,12;1,62;141,3;3,8;38.5;1,5;-;4.7%;50;OBSERVAR;35;NEUTRO;['Preço tocando banda inferior Bollinger', 'Volume alto (2.1x)'];alta;False;1092100
TFCO4;12,82;-1,08;-0,39;-7,84;33,5;-0,077;22,5;1,63;3,51;2,2;41,8;13.6;3,45;-;25.7%;50;OBSERVAR;60;FORTE OPORTUNIDADE;['RSI sobrevendido (34)', 'Volatilidade alta (ATR 3.5%)', 'Volume alto (1.6x)'];alta;False;1002000
UNIP6;56,21;-3,29;-2,35;-11,16;34,3;-0,182;15,0;2,59;2,52;6,2;29,3;25.0;3,35;-;10.8%;50;OBSERVAR;75;FORTE OPORTUNIDADE;['RSI sobrevendido (34)', 'Preço tocando banda inferior Bollinger', 'Volume alto (2.6x)', 'Small Cap (potencial alto)'];baixa;True;532600
BRKM3;3,1;-11,43;-25,3;-37,5;14,4;-0,078;-13,2;3,67;11,1;1,6;287,1;-;-0,2;-;-;50;OBSERVAR;90;FORTE OPORTUNIDADE;['RSI sobrevendido (14)', 'Preço tocando banda inferior Bollinger', 'Volatilidade alta (ATR 11.1%)', 'Volume alto (3.7x)', 'Small Cap (potencial alto)'];baixa;True;265700
FESA4;5,2;0,78;6,78;-13,48;41,8;0,018;41,9;1,83;3,56;9,5;71,2;12.7;0,54;-;4.4%;45;OBSERVAR;50;OBSERVAR;['MACD cruzou para positivo', 'Volatilidade alta (ATR 3.6%)', 'Volume alto (1.8x)'];alta;False;2561800
SBSP3;25,06;1,5;4,94;-5,82;42,9;0,045;42,4;1,1;3,26;14,7;40,9;10.5;1,95;-;18.8%;40;OBSERVAR;35;NEUTRO;['MACD cruzou para positivo', 'Volatilidade alta (ATR 3.3%)'];alta;False;25221700
PETR3;45,93;-0,11;-1,91;-0,61;50,0;-0,063;39,5;1,86;2,75;61,5;15,7;4.5;1,23;-;30.3%;40;OBSERVAR;15;EVITAR;['Volume alto (1.9x)'];alta;False;20594200
CMIG4;10,5;-0,1;3,24;-4,55;47,1;0,003;44,4;0,85;2,41;10,3;27,0;6.5;1,03;-;15.9%;40;OBSERVAR;20;NEUTRO;['MACD cruzou para positivo'];alta;False;12991800
VBBR3;33,61;-1,41;-5,08;-2,86;47,4;-0,157;28,0;1,32;3,08;77,1;9,0;7.9;1,84;-;22.6%;40;OBSERVAR;15;EVITAR;['Volatilidade alta (ATR 3.1%)'];alta;False;11432900
BHIA3;0,36;-7,69;-14,29;-52,63;17,7;-0,011;13,3;0,62;16,62;0,0;1422,2;-;-0,05;-;-;40;OBSERVAR;65;FORTE OPORTUNIDADE;['RSI sobrevendido (18)', 'Preço tocando banda inferior Bollinger', 'Volatilidade alta (ATR 16.6%)'];alta;False;5699500
PSSA3;48,54;0,62;4,39;-9,79;42,8;0,001;40,9;0,65;2,67;13,1;14,4;8.5;1,93;-;24.2%;40;OBSERVAR;20;NEUTRO;['MACD cruzou para positivo'];alta;False;1161700
BBDC4;16,99;1,25;6,05;-7,16;48,0;0,017;48,6;0,93;2,54;14,6;25,0;7.8;0,99;-;13.8%;35;NEUTRO;20;NEUTRO;['MACD cruzou para positivo'];alta;False;34729800
MOTV3;15,1;-0,13;8,17;6,64;61,8;0,116;86,3;1,75;2,74;12,9;17,5;9.0;1,71;-;22.0%;35;NEUTRO;15;EVITAR;['Volume alto (1.8x)'];alta;False;18925400
LREN3;10,8;-2,53;0,65;-19,16;33,2;-0,043;25,9;0,87;4,52;3,1;52,9;7.2;1,0;-;14.5%;35;NEUTRO;45;OBSERVAR;['RSI sobrevendido (33)', 'Volatilidade alta (ATR 4.5%)'];alta;False;18833600
GOAU4;9,94;1,02;-3,12;-6,72;39,8;-0,154;15,3;1,06;3,34;50,7;15,1;16.6;0,68;-;4.2%;35;NEUTRO;35;NEUTRO;['Preço tocando banda inferior Bollinger', 'Volatilidade alta (ATR 3.3%)'];alta;False;11290400
RCSL4;0,57;-24,0;-5,0;-13,64;46,5;0,004;33,9;0,88;10,86;123,5;386,4;9.5;-3,2;-;-;35;NEUTRO;15;EVITAR;['Volatilidade alta (ATR 10.9%)'];alta;False;6451500
HYPE3;22,01;0,96;5,87;4,66;60,1;0,048;93,6;0,97;2,94;12,1;21,8;8.3;1,07;-;13.2%;35;NEUTRO;0;EVITAR;[];alta;False;2789500
SHUL4;4,53;0,89;3,66;0,44;56,7;0,032;76,3;0,73;2,33;14,4;22,8;6.2;1,08;-;16.9%;35;NEUTRO;10;EVITAR;['Small Cap (potencial alto)'];baixa;True;322700
ROMI3;5,72;-1,72;3,44;-2,22;47,5;0,025;49,9;1,58;2,59;5,3;54,4;7.1;0,43;-;6.1%;35;NEUTRO;25;NEUTRO;['Volume alto (1.6x)', 'Small Cap (potencial alto)'];baixa;True;244900
PETR4;41,45;0,24;-0,83;1,79;53,3;0,002;54,9;1,52;2,57;55,2;15,0;4.1;1,11;-;30.3%;30;NEUTRO;15;EVITAR;['Volume alto (1.5x)'];alta;False;74631000
ITSA4;12,9;0,39;4,2;-4,37;48,7;0,021;48,0;0,98;2,29;34,1;16,7;8.0;1,54;-;18.9%;30;NEUTRO;20;NEUTRO;['MACD cruzou para positivo'];alta;False;21891600
ITUB4;39,45;0,03;2,81;-5,63;45,5;0,032;42,7;0,79;2,48;20,2;23,4;9.4;2,0;-;21.5%;30;NEUTRO;20;NEUTRO;['MACD cruzou para positivo'];alta;False;20036200
UGPA3;33,46;-0,48;1,51;7,66;65,0;0,106;79,7;1,39;3,08;103,6;2,2;10.2;2,17;-;19.8%;30;NEUTRO;15;EVITAR;['Volatilidade alta (ATR 3.1%)'];alta;False;14736200
CYRE3;24,09;-2,59;11,01;15,98;65,3;0,393;97,6;1,71;3,74;21,9;49,5;5.2;0,94;-;20.6%;30;NEUTRO;30;NEUTRO;['Volatilidade alta (ATR 3.7%)', 'Volume alto (1.7x)'];alta;False;12940900
BEEF3;4,1;1,23;14,85;18,16;67,8;0,092;96,2;0,62;4,49;38,0;78,4;10.5;2,57;-;23.2%;30;NEUTRO;15;EVITAR;['Volatilidade alta (ATR 4.5%)'];alta;False;10306100
DIRR3;11,01;-2,48;4,76;-0,72;46,3;0,094;49,1;1,03;4,15;8,2;56,7;6.8;2,46;-;41.9%;30;NEUTRO;15;EVITAR;['Volatilidade alta (ATR 4.2%)'];alta;False;8977500
CEAB3;7,85;-1,88;5,51;-13,93;38,2;0,0;31,6;0,89;5,18;9,2;130,2;4.2;0,62;-;15.5%;30;NEUTRO;35;NEUTRO;['MACD cruzou para positivo', 'Volatilidade alta (ATR 5.2%)'];alta;False;8845600
SUZB3;46,15;-0,41;7,15;9,1;68,5;0,527;95,1;1,1;2,52;17,8;29,2;7.0;1,3;-;17.6%;30;NEUTRO;0;EVITAR;[];alta;False;7919000
