ticker;preco;var_1d;var_5d;var_20d;rsi;macd_hist;bb_pct;vol_ratio;atr_pct;dist_min52;dist_max52;pl;pvp;dy;roe;score;classificacao;score_trader;classificacao_trader;sinais_trader;liquidez;gema;volume_dia;alerta_spike
ALUP11;32,84;0,43;-1,68;2,21;49,4;-0,083;36,8;0,35;2,03;11,2;11,5;7.9;1,12;-;15.8%;60;FORTE OPORTUNIDADE;10;EVITAR;['Small Cap (potencial alto)'];baixa;True;352800;False
DIRR3;10,07;0,2;-0,59;-3,91;34,3;-0,075;14,9;0,28;4,17;4,1;71,4;6.2;2,25;-;41.9%;55;OBSERVAR;65;FORTE OPORTUNIDADE;['RSI sobrevendido (34)', 'Preço tocando banda inferior Bollinger', 'Volatilidade alta (ATR 4.2%)'];alta;False;2746000;False
CURY3;28,79;-0,9;-6,53;-3,71;36,4;-0,477;0,5;0,32;4,6;9,0;39,8;7.9;5,36;-;68.5%;45;OBSERVAR;45;OBSERVAR;['Preço tocando banda inferior Bollinger', 'Volatilidade alta (ATR 4.6%)', 'Small Cap (potencial alto)'];baixa;True;942100;False
RECV3;10,93;-0,82;-3,87;4,0;49,9;-0,069;39,2;0,21;3,09;23,0;26,2;6.4;0,72;-;11.3%;45;OBSERVAR;25;NEUTRO;['Volatilidade alta (ATR 3.1%)', 'Small Cap (potencial alto)'];baixa;True;414000;False
SMTO3;18,76;-1,16;-4,96;1,9;49,6;-0,328;21,2;0,19;4,51;47,4;14,1;7.7;0,82;-;11.3%;45;OBSERVAR;25;NEUTRO;['Volatilidade alta (ATR 4.5%)', 'Small Cap (potencial alto)'];baixa;True;402500;False
CMIN3;5,47;0,18;-12,62;-7,29;37,1;-0,155;8,0;0,26;5,67;34,1;29,3;17.1;4,03;-;28.1%;40;OBSERVAR;35;NEUTRO;['Preço tocando banda inferior Bollinger', 'Volatilidade alta (ATR 5.7%)'];alta;False;2083600;False
VIVA3;23,17;2,61;3,44;7,67;58,6;0,011;80,4;0,55;3,25;15,6;54,9;9.3;1,8;-;19.7%;40;OBSERVAR;35;NEUTRO;['MACD cruzou para positivo', 'Volatilidade alta (ATR 3.3%)'];alta;False;1084300;False
AGRO3;18,21;0,72;-0,44;-4,61;39,5;-0,118;12,7;1,68;2,18;2,0;24,9;-;0,9;-;-4.3%;40;OBSERVAR;45;OBSERVAR;['Preço tocando banda inferior Bollinger', 'Volume alto (1.7x)', 'Small Cap (potencial alto)'];baixa;True;351200;False
EGIE3;30,53;0,46;0,23;10,5;57,6;0,064;66,0;0,1;2,15;13,9;24,7;8.9;2,32;-;28.6%;40;OBSERVAR;10;EVITAR;['Small Cap (potencial alto)'];baixa;True;302300;False
TTEN3;10,37;0,19;-2,08;-8,15;36,1;-0,046;11,5;0,18;4,05;7,9;72,6;8.4;1,04;-;12.1%;40;OBSERVAR;45;OBSERVAR;['Preço tocando banda inferior Bollinger', 'Volatilidade alta (ATR 4.0%)', 'Small Cap (potencial alto)'];baixa;True;286800;False
POMO4;4,24;-0,93;-4,29;-2,33;38,5;-0,007;0,8;0,61;3,54;7,8;75,7;4.4;1,24;-;28.3%;35;NEUTRO;35;NEUTRO;['Preço tocando banda inferior Bollinger', 'Volatilidade alta (ATR 3.5%)'];alta;False;8729700;False
VALE3;72,69;-0,93;-3,7;-3,12;38,8;-0,783;1,0;0,22;2,79;39,1;22,6;28.4;1,57;-;4.1%;35;NEUTRO;20;NEUTRO;['Preço tocando banda inferior Bollinger'];alta;False;4606000;False
PGMN3;3,83;3,79;0,79;13,65;58,2;0,001;71,4;0,69;3,97;23,9;99,0;7.7;0,81;-;10.6%;35;NEUTRO;15;EVITAR;['Volatilidade alta (ATR 4.0%)'];alta;False;3185200;False
SAUD3;14,48;-0,34;-3,6;4,02;49,1;-0,012;48,8;0,29;3,29;40,1;13,8;12.8;2,26;-;10.5%;35;NEUTRO;15;EVITAR;['Volatilidade alta (ATR 3.3%)'];alta;False;1983500;False
PRIO3;61,49;-2,77;-3,79;-2,16;48,1;-0,205;32,5;0,27;3,28;79,9;18,7;12.9;1,74;-;14.2%;35;NEUTRO;15;EVITAR;['Volatilidade alta (ATR 3.3%)'];alta;False;1957600;False
POMO3;4,01;-1,23;-4,3;-1,0;39,6;-0,002;8,4;0,7;3,4;8,1;60,9;4.2;1,17;-;28.3%;35;NEUTRO;35;NEUTRO;['Preço tocando banda inferior Bollinger', 'Volatilidade alta (ATR 3.4%)'];alta;False;1348200;False
